2026-04-22T00:00:30.523000964Z 2026-04-22 00:00:30,522 - quant_v2.portfolio.optimizer - INFO - Optimizer: 1 symbols → 0 after filter | vols={'ETHUSDT': '0.0068'} | corr_pairs=0
2026-04-22T00:00:31.909596510Z 2026-04-22 00:00:31,909 - quant_v2.portfolio.optimizer - INFO - Optimizer: 2 symbols → 0 after filter | vols={'DOGEUSDT': '0.0073', 'SOLUSDT': '0.0079'} | corr_pairs=1
2026-04-22T00:00:33.219469559Z 2026-04-22 00:00:33,219 - quant_v2.portfolio.optimizer - INFO - Optimizer: 1 symbols → 0 after filter | vols={'ETHUSDT': '0.0068'} | corr_pairs=0
2026-04-22T00:00:40.053401219Z 2026-04-22 00:00:40,053 - quant_v2.portfolio.optimizer - INFO - Optimizer: 2 symbols → 0 after filter | vols={'DOGEUSDT': '0.0073', 'SOLUSDT': '0.0079'} | corr_pairs=1
2026-04-22T01:00:11.556221453Z 2026-04-22 01:00:11,556 - quant_v2.portfolio.optimizer - INFO - Optimizer: 1 symbols → 0 after filter | vols={'ETHUSDT': '0.0068'} | corr_pairs=0
2026-04-22T01:00:12.516285069Z 2026-04-22 01:00:12,516 - quant_v2.portfolio.optimizer - INFO - Optimizer: 2 symbols → 0 after filter | vols={'DOGEUSDT': '0.0073', 'SOLUSDT': '0.0079'} | corr_pairs=1
2026-04-22T01:00:15.219443728Z 2026-04-22 01:00:15,219 - quant_v2.portfolio.optimizer - INFO - Optimizer: 2 symbols → 0 after filter | vols={'DOGEUSDT': '0.0073', 'SOLUSDT': '0.0079'} | corr_pairs=1
2026-04-22T01:00:19.749382224Z 2026-04-22 01:00:19,749 - quant_v2.portfolio.optimizer - INFO - Optimizer: 2 symbols → 0 after filter | vols={'DOGEUSDT': '0.0073', 'SOLUSDT': '0.0079'} | corr_pairs=1
2026-04-22T01:00:24.020149765Z 2026-04-22 01:00:24,019 - quant_v2.portfolio.optimizer - INFO - Optimizer: 2 symbols → 0 after filter | vols={'ETHUSDT': '0.0068', 'XRPUSDT': '0.0078'} | corr_pairs=1
2026-04-22T01:00:25.239384416Z 2026-04-22 01:00:25,239 - quant_v2.portfolio.optimizer - INFO - Optimizer: 2 symbols → 0 after filter | vols={'DOGEUSDT': '0.0073', 'SOLUSDT': '0.0079'} | corr_pairs=1
2026-04-22T01:00:29.294174031Z 2026-04-22 01:00:29,294 - quant_v2.portfolio.optimizer - INFO - Optimizer: 2 symbols → 0 after filter | vols={'ETHUSDT': '0.0068', 'XRPUSDT': '0.0078'} | corr_pairs=1
2026-04-22T01:00:30.563631298Z 2026-04-22 01:00:30,563 - quant_v2.portfolio.optimizer - INFO - Optimizer: 2 symbols → 0 after filter | vols={'DOGEUSDT': '0.0073', 'SOLUSDT': '0.0079'} | corr_pairs=1
2026-04-22T01:00:32.003093921Z 2026-04-22 01:00:32,002 - quant_v2.portfolio.optimizer - INFO - Optimizer: 2 symbols → 0 after filter | vols={'ETHUSDT': '0.0068', 'XRPUSDT': '0.0078'} | corr_pairs=1
2026-04-22T01:00:38.525055916Z 2026-04-22 01:00:38,524 - quant_v2.portfolio.optimizer - INFO - Optimizer: 2 symbols → 0 after filter | vols={'DOGEUSDT': '0.0073', 'SOLUSDT': '0.0079'} | corr_pairs=1
2026-04-22T02:00:12.416189555Z 2026-04-22 02:00:12,415 - quant_v2.portfolio.optimizer - INFO - Optimizer: 2 symbols → 0 after filter | vols={'DOGEUSDT': '0.0073', 'SOLUSDT': '0.0079'} | corr_pairs=1
2026-04-22T02:00:14.056899233Z 2026-04-22 02:00:14,056 - quant_v2.portfolio.optimizer - INFO - Optimizer: 1 symbols → 0 after filter | vols={'XRPUSDT': '0.0078'} | corr_pairs=0
2026-04-22T02:00:15.314078284Z 2026-04-22 02:00:15,313 - quant_v2.portfolio.optimizer - INFO - Optimizer: 2 symbols → 0 after filter | vols={'DOGEUSDT': '0.0073', 'SOLUSDT': '0.0079'} | corr_pairs=1
2026-04-22T02:00:35.140066213Z 2026-04-22 02:00:35,139 - quant_v2.portfolio.optimizer - INFO - Optimizer: 1 symbols → 0 after filter | vols={'XRPUSDT': '0.0078'} | corr_pairs=0
2026-04-22T02:00:36.351812316Z 2026-04-22 02:00:36,351 - quant_v2.portfolio.optimizer - INFO - Optimizer: 3 symbols → 0 after filter | vols={'DOGEUSDT': '0.0073', 'LTCUSDT': '0.0057', 'SOLUSDT': '0.0079'} | corr_pairs=3
2026-04-22T03:00:18.361610457Z 2026-04-22 03:00:18,361 - quant_v2.portfolio.optimizer - INFO - Optimizer: 2 symbols → 0 after filter | vols={'DOGEUSDT': '0.0073', 'LTCUSDT': '0.0057'} | corr_pairs=1
2026-04-22T04:00:16.901545037Z 2026-04-22 04:00:16,901 - quant_v2.portfolio.optimizer - INFO - Optimizer: 2 symbols → 0 after filter | vols={'DOGEUSDT': '0.0073', 'LTCUSDT': '0.0057'} | corr_pairs=1
2026-04-22T04:00:25.043047718Z 2026-04-22 04:00:25,042 - quant_v2.portfolio.optimizer - INFO - Optimizer: 2 symbols → 0 after filter | vols={'DOGEUSDT': '0.0073', 'LTCUSDT': '0.0057'} | corr_pairs=1
2026-04-22T04:00:27.764058818Z 2026-04-22 04:00:27,763 - quant_v2.portfolio.optimizer - INFO - Optimizer: 2 symbols → 0 after filter | vols={'DOGEUSDT': '0.0073', 'LTCUSDT': '0.0057'} | corr_pairs=1
2026-04-22T05:00:16.943716877Z 2026-04-22 05:00:16,943 - quant_v2.portfolio.optimizer - INFO - Optimizer: 2 symbols → 0 after filter | vols={'DOGEUSDT': '0.0073', 'LTCUSDT': '0.0057'} | corr_pairs=1
2026-04-22T05:00:22.520615515Z 2026-04-22 05:00:22,520 - quant_v2.portfolio.optimizer - INFO - Optimizer: 2 symbols → 0 after filter | vols={'DOGEUSDT': '0.0073', 'LTCUSDT': '0.0057'} | corr_pairs=1
2026-04-22T05:00:27.801356263Z 2026-04-22 05:00:27,801 - quant_v2.portfolio.optimizer - INFO - Optimizer: 2 symbols → 0 after filter | vols={'DOGEUSDT': '0.0073', 'LTCUSDT': '0.0057'} | corr_pairs=1
2026-04-22T06:00:16.507686887Z 2026-04-22 06:00:16,507 - quant_v2.portfolio.optimizer - INFO - Optimizer: 2 symbols → 0 after filter | vols={'DOGEUSDT': '0.0073', 'LTCUSDT': '0.0057'} | corr_pairs=1
2026-04-22T06:00:25.817763643Z 2026-04-22 06:00:25,817 - quant_v2.portfolio.optimizer - INFO - Optimizer: 2 symbols → 0 after filter | vols={'DOGEUSDT': '0.0073', 'LTCUSDT': '0.0057'} | corr_pairs=1
2026-04-22T06:00:28.566731075Z 2026-04-22 06:00:28,566 - quant_v2.portfolio.optimizer - INFO - Optimizer: 2 symbols → 0 after filter | vols={'DOGEUSDT': '0.0073', 'LTCUSDT': '0.0057'} | corr_pairs=1
2026-04-22T06:00:31.249269951Z 2026-04-22 06:00:31,249 - quant_v2.portfolio.optimizer - INFO - Optimizer: 2 symbols → 0 after filter | vols={'DOGEUSDT': '0.0073', 'LTCUSDT': '0.0057'} | corr_pairs=1
2026-04-22T07:00:13.760366270Z 2026-04-22 07:00:13,760 - quant_v2.portfolio.optimizer - INFO - Optimizer: 2 symbols → 0 after filter | vols={'DOGEUSDT': '0.0073', 'LTCUSDT': '0.0057'} | corr_pairs=1
2026-04-22T07:00:20.245430013Z 2026-04-22 07:00:20,245 - quant_v2.portfolio.optimizer - INFO - Optimizer: 2 symbols → 0 after filter | vols={'DOGEUSDT': '0.0073', 'LTCUSDT': '0.0057'} | corr_pairs=1
2026-04-22T07:00:25.777247254Z 2026-04-22 07:00:25,777 - quant_v2.portfolio.optimizer - INFO - Optimizer: 2 symbols → 0 after filter | vols={'DOGEUSDT': '0.0073', 'LTCUSDT': '0.0057'} | corr_pairs=1
2026-04-22T07:00:28.569888092Z 2026-04-22 07:00:28,569 - quant_v2.portfolio.optimizer - INFO - Optimizer: 2 symbols → 0 after filter | vols={'DOGEUSDT': '0.0073', 'LTCUSDT': '0.0057'} | corr_pairs=1
2026-04-22T08:00:16.035121198Z 2026-04-22 08:00:16,034 - quant_v2.portfolio.optimizer - INFO - Optimizer: 2 symbols → 0 after filter | vols={'DOGEUSDT': '0.0073', 'LTCUSDT': '0.0057'} | corr_pairs=1
2026-04-22T08:00:34.650367848Z 2026-04-22 08:00:34,649 - quant_v2.portfolio.optimizer - INFO - Optimizer: 1 symbols → 0 after filter | vols={'LTCUSDT': '0.0057'} | corr_pairs=0
2026-04-22T10:00:18.328127401Z 2026-04-22 10:00:18,327 - quant_v2.portfolio.optimizer - INFO - Optimizer: 1 symbols → 0 after filter | vols={'ETHUSDT': '0.0077'} | corr_pairs=0
2026-04-22T10:00:39.830900443Z 2026-04-22 10:00:39,830 - quant_v2.portfolio.optimizer - INFO - Optimizer: 1 symbols → 0 after filter | vols={'ETHUSDT': '0.0077'} | corr_pairs=0
2026-04-22T11:00:15.695417295Z 2026-04-22 11:00:15,695 - quant_v2.portfolio.optimizer - INFO - Optimizer: 1 symbols → 0 after filter | vols={'ETHUSDT': '0.0077'} | corr_pairs=0
2026-04-22T11:00:16.646343851Z 2026-04-22 11:00:16,646 - quant_v2.portfolio.optimizer - INFO - Optimizer: 1 symbols → 0 after filter | vols={'BTCUSDT': '0.0069'} | corr_pairs=0
2026-04-22T11:00:19.424760310Z 2026-04-22 11:00:19,424 - quant_v2.portfolio.optimizer - INFO - Optimizer: 1 symbols → 0 after filter | vols={'BTCUSDT': '0.0069'} | corr_pairs=0
2026-04-22T11:00:42.878507696Z 2026-04-22 11:00:42,878 - quant_v2.portfolio.optimizer - INFO - Optimizer: 1 symbols → 0 after filter | vols={'BTCUSDT': '0.0069'} | corr_pairs=0
2026-04-22T20:00:40.180631195Z 2026-04-22 20:00:40,180 - quant_v2.portfolio.optimizer - INFO - Optimizer: 1 symbols → 0 after filter | vols={'LTCUSDT': '0.0056'} | corr_pairs=0
